name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Genoa,Italy",2022-08-05,29.1,26,27.7,34.2,26,30.1,20.4,66.1,0,0,0,,0,0,19.1,11.1,165.3,1013.6,20.4,10,299.7,26.1,9,10,2022-08-05T06:15:32,2022-08-05T20:44:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-06,29.1,25,27.7,33.4,25,30,20.6,65.9,0,0,0,rain,0,0,30.6,12.9,164.7,1012.8,34.7,10,272.1,23.5,9,30,2022-08-06T06:16:40,2022-08-06T20:42:58,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-07,33.9,21.9,28.5,34.5,21.9,29.2,18,54.4,6.831,100,4.17,rain,0,0,51.8,35,32.3,1013,48.4,10,233.2,20.2,9,30,2022-08-07T06:17:48,2022-08-07T20:41:35,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-08-08,34.6,22.9,28.5,34.3,22.9,28.7,16.3,49.4,0.076,100,4.17,rain,0,0,35.3,31.6,26.4,1014,22.5,10,267.5,23,8,30,2022-08-08T06:18:56,2022-08-08T20:40:11,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-09,34.6,24.9,28.5,34.7,24.9,29.2,16.8,49.9,0,0,0,,0,0,35.3,24,46,1016,26.5,10,226.5,19.4,8,30,2022-08-09T06:20:05,2022-08-09T20:38:46,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-10,29.6,24.9,27.5,31.9,24.9,28.5,17.9,56.4,0.1,100,4.17,rain,0,0,22.3,20.4,14.2,1016.5,41.7,10,271.8,23.5,8,30,2022-08-10T06:21:14,2022-08-10T20:37:19,0.44,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-11,31.7,24.5,27.5,31,24.5,28.1,16.4,51.6,0,0,0,,0,0,28.8,22.2,56.6,1015.5,42.2,10,264.8,23,8,10,2022-08-11T06:22:22,2022-08-11T20:35:51,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-12,26.9,23.9,26.1,28,23.9,26.5,16.9,57.1,0,0,0,,0,0,25.9,18.3,116.8,1012.8,45.5,10,237.3,20.7,9,30,2022-08-12T06:23:32,2022-08-12T20:34:22,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-13,29.7,21.7,25.3,28.9,21.7,25.4,17,60.8,0.357,100,4.17,rain,0,0,31,24.1,53.7,1012.1,38.3,10,287.9,25,9,10,2022-08-13T06:24:41,2022-08-13T20:32:51,0.54,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-14,25.9,21.9,24.8,25.9,21.9,24.8,16.2,59.1,0.414,100,4.17,rain,0,0,25.6,22.3,131,1010.2,38.7,10,199.9,17.4,6,10,2022-08-14T06:25:50,2022-08-14T20:31:19,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-08-15,27.9,22.9,25.1,30.5,22.9,25.5,19.3,71,0.151,100,4.17,rain,0,0,50.8,33.2,129,1006.8,51,10,258.2,22.5,9,60,2022-08-15T06:26:59,2022-08-15T20:29:47,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-08-16,26.9,23.7,25.8,29.5,23.7,26.6,21.8,78.9,4.734,100,8.33,rain,0,0,15.8,36.9,136,1009.3,53.8,9.6,224.7,19.5,7,10,2022-08-16T06:28:09,2022-08-16T20:28:13,0.64,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-17,26.8,22.9,24.9,28.8,22.9,25.1,20.6,77.1,2.05,100,8.33,rain,0,0,23.4,23.8,35.5,1011.8,53.4,9.8,111.3,9.7,4,30,2022-08-17T06:29:18,2022-08-17T20:26:38,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-18,26.7,19.8,23.6,27.4,19.8,23.6,18.3,72.6,27.45,100,8.33,rain,0,0,51.8,31.5,25.1,1008.6,67.9,9.6,150.1,13,8,30,2022-08-18T06:30:28,2022-08-18T20:25:01,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-19,27.7,21.9,24.4,28,21.9,24.5,17.6,66.4,0,0,0,,0,0,36,24.1,12.1,1008.8,54.9,10,174.3,15,8,10,2022-08-19T06:31:38,2022-08-19T20:23:24,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-20,26.8,22.9,24.9,28.4,22.9,24.9,18.6,68.3,0,0,0,,0,0,14.8,14.7,119.3,1011.4,12.7,10,278.6,24.1,9,30,2022-08-20T06:32:47,2022-08-20T20:21:46,0.77,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-21,27,22.9,24.9,29.1,22.9,25,18.5,68.4,0,0,0,rain,0,0,15.8,12.9,89.2,1010.5,28.3,10,281.2,24.4,9,30,2022-08-21T06:33:57,2022-08-21T20:20:07,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-08-22,27.5,22,24.9,29,22,25.4,19.7,73.3,0,0,0,,0,0,16.2,16.5,154.3,1008.4,35.7,10,265.4,22.9,9,30,2022-08-22T06:35:07,2022-08-22T20:18:27,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-23,27.6,22.9,25.7,29.4,22.9,26.5,19.1,67.4,0,0,0,,0,0,15.8,14.8,104.8,1010.4,18.8,10,272.8,23.5,9,10,2022-08-23T06:36:16,2022-08-23T20:16:47,0.87,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-24,27,23,25.7,28.6,23,26.1,18.6,65.3,0,0,0,,0,0,20.5,20.4,270.5,1013.9,23.4,10,261.8,22.6,8,10,2022-08-24T06:37:26,2022-08-24T20:15:05,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-25,29.6,23.9,26.3,30.1,23.9,26.9,17.6,59.1,0,0,0,,0,0,17.3,20.5,66.2,1013.4,11.5,10,263.6,22.6,8,10,2022-08-25T06:38:36,2022-08-25T20:13:22,0.94,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-26,26.6,23,25,26.6,23,25,18.8,69.5,0.22,100,4.17,rain,0,0,14,9.3,225,1010.8,51.7,10,210.9,18.3,8,30,2022-08-26T06:39:45,2022-08-26T20:11:39,0.97,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-27,26.9,23.6,25.4,29.3,23.6,26,20.1,72.5,0,0,0,rain,0,0,14,14.7,158,1009.6,50.6,10,178.7,15.5,6,30,2022-08-27T06:40:55,2022-08-27T20:09:55,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
